L,H,E,nu,F,u_max,sigma_vm_max
1.660934072833945008e+00,1.158317659628078644e-01,1.902037087875935364e+11,3.197368029059363681e-01,9.237980654944228718e+02,4.423351551603495879e-05,7.070249893458291190e+05
1.963433527455133998e+00,1.641709552985529674e-01,1.800490027387735291e+11,2.628113632675546096e-01,2.526736720530052025e+03,7.982546136294338911e-05,1.091663755550104892e+06
1.056197036348871965e+00,1.890147483272903162e-01,1.601411168112930298e+11,3.322761613270829861e-01,2.495363894722990153e+03,9.446381323895068188e-06,5.464799758672375465e+05
8.408580826771653305e-01,1.331877180523752258e-01,7.893441585458454895e+10,3.327631171992582182e-01,3.342489796049291726e+03,3.655013828314159104e-05,1.152162234157078434e+06
1.637131610128060633e+00,1.031788952194802600e-01,2.058977234152864380e+11,3.393121121322197342e-01,4.002725736831928316e+03,2.304670290904056089e-04,3.883743471788181923e+06
7.919580617779513609e-01,1.200081505590551434e-01,7.613252721021203613e+10,2.654289492067548051e-01,3.573720289591045912e+03,4.847245453150673153e-05,1.291434007968036225e+06
1.617143233861725760e+00,1.951264598651315518e-01,1.156155501393412781e+11,2.870459706034869107e-01,2.613001150741135461e+03,4.447366992333371170e-05,7.196840396358455764e+05
7.842070386264285986e-01,6.948822580032075480e-02,1.365986896716307220e+11,2.726909349050883891e-01,3.514162976071296725e+03,1.235632109116365808e-04,3.455701341567751952e+06
1.155727878308496104e+00,1.749017294086756547e-01,1.680371142803148804e+11,2.812366641382040844e-01,4.245169106278404797e+03,2.591901452696539554e-05,1.071144780119765550e+06
1.707146536245202739e+00,1.081217568545261853e-01,1.103659345502341766e+11,3.182495503974975271e-01,1.128886176241894191e+03,1.214828894976428461e-04,9.938121043558218516e+05
7.998623037126624258e-01,5.110434046265083241e-02,1.801694128502993774e+11,3.164850856592031914e-01,3.673244203818508140e+03,2.367122911012164890e-04,6.773393794088616967e+06
1.671093546532951724e+00,1.188373663307510097e-01,1.496237674334051208e+11,2.639796998127657557e-01,1.015385330911880487e+03,6.055622651804593243e-05,6.895319237951983232e+05
1.502604442685707475e+00,1.206644309214698896e-01,1.491330549073664551e+11,3.264998857416025468e-01,3.356232440002658677e+03,1.375671547332993133e-04,2.233231573428921402e+06
1.330369100986993791e+00,1.338810741118120484e-01,1.125530137287657166e+11,2.530817834567939406e-01,2.465228251545630883e+03,7.408895876048086427e-05,1.113011712109196698e+06
8.218770092292937424e-01,1.112792965586954369e-01,1.894764302575432739e+11,2.733939485865340968e-01,7.623623376007971046e+02,5.727205642853981917e-06,3.291265902657035040e+05
9.220758380329947546e-01,9.403906366500255909e-02,1.626683120617653198e+11,3.057032152341278008e-01,4.027541940978860566e+03,7.797066812690177265e-05,2.719166679152034689e+06
1.496470310491081257e+00,1.109580292160105841e-01,1.839628538532448730e+11,2.666972919907704132e-01,6.022043291023721849e+02,2.599007342486076222e-05,4.251178461187733919e+05
6.350717911634626844e-01,1.583539025894675767e-01,1.346628122351942444e+11,2.661271779033601570e-01,2.754701487965136039e+03,5.017987260674067142e-06,5.001576319779974874e+05
7.284681540697526270e-01,1.544480562616604158e-01,1.324618785803642883e+11,2.881021226096482368e-01,1.856804401165444460e+03,5.396277026135538608e-06,4.042541426387264510e+05
1.445423889678332685e+00,1.042718915830085774e-01,8.227098870425413513e+10,2.618005902120515427e-01,4.828539490472815487e+03,5.039802061412403719e-04,3.688212245606712066e+06
1.862871036061410468e+00,1.549560700716124395e-01,1.072217946043327332e+11,3.469176377347723550e-01,4.004379067846075941e+03,2.031683632327230238e-04,2.112966827526328154e+06
1.575335283738493519e+00,1.174042253215683146e-01,1.081138186583222656e+11,2.596390962153499182e-01,4.561710784447287551e+03,3.314701771495424812e-04,3.011171414176294580e+06
1.183664434750416605e+00,8.035450471928455574e-02,1.128339273810913391e+11,3.079219568941896079e-01,1.295477523226542644e+03,1.135365484438252584e-04,1.428230384303467348e+06
1.784921426138563305e+00,1.637779294752815251e-01,1.707248138331311646e+11,2.932093039775103827e-01,3.322889783160994284e+03,8.359883322361977471e-05,1.380884784706000937e+06
1.376146953369103310e+00,1.474769902332230265e-01,8.182220495958447266e+10,2.915807402170609297e-01,6.872637823785161117e+02,2.318032598279008970e-05,2.782127543285078718e+05
1.240986228866778340e+00,9.947918184991780266e-02,9.023338644124656677e+10,2.603402967722551753e-01,3.144400574799704373e+03,2.233886299867966264e-04,2.313882417283857707e+06
7.558894528053291539e-01,1.887680177565195794e-01,1.513485595580552979e+11,2.846869804534837289e-01,3.159119711666375224e+03,5.035835237373814223e-06,4.904876394056103891e+05
5.342058065445463022e-01,1.937838819862168216e-01,1.375224811720060425e+11,3.282735227250286325e-01,8.722849996509735320e+02,5.194503492373368895e-07,1.046742041137137421e+05
1.229987496257240576e+00,1.236060491531781463e-01,2.012957036964976196e+11,3.071728052376075380e-01,2.630702304756292051e+03,4.288344508538496637e-05,1.371143640450846171e+06
9.004634946378403670e-01,9.973534960138283334e-02,1.428941363460152893e+11,2.938911460305046464e-01,5.972543594614869562e+02,1.047532900886850320e-05,3.488403091299819062e+05
1.739437886291536728e+00,1.844241157759650140e-01,8.963487245980551147e+10,3.054036143539049508e-01,9.885908351094959698e+02,3.107889399105516449e-05,3.292992162388658035e+05
1.508360139559717483e+00,9.218506757585126499e-02,1.623191688568662415e+11,3.226994614286882168e-01,3.958913713629456652e+03,3.181912942855419021e-04,4.236308243920336477e+06
6.616114189338448970e-01,1.874017767706412374e-01,1.022299587252833099e+11,2.537412556176179557e-01,2.996836112261675225e+03,5.041992646029547867e-06,4.098905103820677614e+05
1.056383425793658182e+00,1.744684614698620018e-01,1.831552060890022583e+11,2.817138892822715346e-01,4.788047277813852816e+03,2.081291100726320113e-05,1.126347069503523642e+06
9.363767572101779901e-01,1.272585693847572141e-01,1.058351126794643860e+11,3.436043570048963325e-01,1.240735179119081749e+03,1.561714667836010766e-05,5.214493630653209984e+05
